32MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Loading,MMA CUDA Shared Half Computing,MMA CUDA Shared Half Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.000379,0.018284,0.000135,0.019652,0.000928,0.005895,0.029163,0.012640,0.012375,0.031207,0.010240,0.011920,0.018666,0.000896,0.005776,0.028301,0.008352,0.012782,0.017391,0.007744,0.005685,-1.000000,-1.000000,-1.000000,
0.000377,0.018144,0.000137,0.018283,0.002048,0.005834,0.029371,0.012288,0.012733,0.031214,0.011680,0.012246,0.018953,0.001024,0.005812,0.028219,0.009408,0.013574,0.018128,0.007968,0.005772,-1.000000,-1.000000,-1.000000,
0.000366,0.018111,0.000127,0.018102,0.001888,0.005920,0.028191,0.012288,0.011988,0.032267,0.010400,0.012691,0.017813,0.001856,0.005781,0.028725,0.008576,0.012541,0.018117,0.007136,0.005707,-1.000000,-1.000000,-1.000000,
0.000406,0.017921,0.000179,0.019389,0.001952,0.006262,0.028397,0.013536,0.012572,0.033946,0.007488,0.005962,0.018470,0.001888,0.005795,0.029731,0.008192,0.012700,0.018321,0.006624,0.005708,-1.000000,-1.000000,-1.000000,
0.000377,0.018031,0.000163,0.018532,0.002048,0.005974,0.027842,0.012288,0.012076,0.016692,0.006912,0.005789,0.018298,0.002048,0.005800,0.028125,0.008192,0.012829,0.018223,0.007488,0.005706,-1.000000,-1.000000,-1.000000,
0.000377,0.018200,0.000136,0.018390,0.001888,0.006080,0.037471,0.009568,0.005855,0.016194,0.008160,0.005822,0.018832,0.002048,0.006019,0.028730,0.008192,0.012969,0.018487,0.007936,0.005733,-1.000000,-1.000000,-1.000000,
0.000364,0.017973,0.000131,0.018390,0.001888,0.005802,0.015751,0.009600,0.005900,0.016312,0.007776,0.005781,0.018554,0.001888,0.006301,0.028675,0.008192,0.012089,0.017611,0.007712,0.005685,-1.000000,-1.000000,-1.000000,
0.000377,0.018302,0.000119,0.022390,0.001888,0.005939,0.015719,0.010112,0.005979,0.015898,0.008192,0.006196,0.018776,0.001952,0.006219,0.027840,0.009216,0.012651,0.018154,0.007968,0.005830,-1.000000,-1.000000,-1.000000,
0.000382,0.018189,0.000133,0.019063,0.002112,0.006347,0.015561,0.010240,0.005882,0.016108,0.007552,0.005826,0.019141,0.002048,0.005820,0.029035,0.008192,0.012185,0.018169,0.007008,0.005774,-1.000000,-1.000000,-1.000000,
0.000376,0.018036,0.000133,0.027234,0.002048,0.005867,0.015391,0.010112,0.006193,0.016376,0.008192,0.006246,0.017911,0.003072,0.005783,0.028927,0.009216,0.012703,0.017762,0.007488,0.005746,-1.000000,-1.000000,-1.000000,
0.000379,0.018149,0.000127,0.019480,0.002048,0.005837,0.015287,0.008512,0.005840,0.015803,0.006848,0.005786,0.018332,0.002048,0.005837,0.029128,0.008256,0.012165,0.018528,0.008192,0.005699,-1.000000,-1.000000,-1.000000,
0.000372,0.018096,0.000121,0.018949,0.002048,0.006258,0.015020,0.008832,0.005790,0.015898,0.008000,0.005922,0.019935,0.002336,0.006345,0.028119,0.008192,0.012321,0.018831,0.007488,0.006276,-1.000000,-1.000000,-1.000000,
