MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.000796,0.017332,0.000185,0.072091,0.003133,0.016930,0.065876,0.002776,0.016497,0.066126,0.000401,0.008411,0.066717,0.000355,0.007998,
0.000803,0.017215,0.000183,0.072428,0.003126,0.016189,0.065263,0.002562,0.016257,0.065056,0.000387,0.008250,0.065936,0.000356,0.008412,
0.000837,0.017312,0.000190,0.071570,0.003080,0.016077,0.064549,0.002505,0.016793,0.066276,0.000402,0.008396,0.066676,0.000360,0.008613,
0.000847,0.017222,0.000186,0.072462,0.003141,0.016728,0.070338,0.002475,0.009014,0.067121,0.000405,0.008469,0.067458,0.000357,0.008281,
0.000802,0.017105,0.000194,0.072193,0.002980,0.017077,0.064333,0.002486,0.020834,0.066250,0.000402,0.008386,0.065683,0.000361,0.008532,
0.000835,0.017367,0.000207,0.073007,0.003042,0.016381,0.063541,0.002427,0.017147,0.066744,0.000408,0.008654,0.066552,0.000355,0.008516,

MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing,
0.018740,0.034788,0.001037,0.193220,0.004445,0.025188,0.097289,0.004059,0.019053,0.123775,0.003613,0.018457,0.124757,0.003742,0.018884,
0.003312,0.034584,0.000733,0.025195,0.002141,0.025296,0.025314,0.001946,0.017775,0.056552,0.001982,0.018231,0.055257,0.002097,0.017702,
0.003208,0.034365,0.000683,0.024995,0.002036,0.025124,0.024392,0.001769,0.017146,0.055247,0.002418,0.017631,0.047610,0.001839,0.016814,
0.003283,0.034299,0.000737,0.025285,0.001986,0.024552,0.024224,0.001769,0.018006,0.054521,0.002343,0.017599,0.045090,0.001858,0.017586,
0.003320,0.034753,0.000731,0.025618,0.002075,0.024531,0.024104,0.001759,0.018122,0.053463,0.001875,0.017856,0.042199,0.001873,0.017236,
0.003282,0.034420,0.000739,0.025499,0.001870,0.024691,0.024006,0.001787,0.018274,0.051380,0.001770,0.017924,0.040806,0.001814,0.018021,
0.003235,0.034341,0.000767,0.024916,0.001828,0.024423,0.023629,0.001759,0.017514,0.050944,0.001789,0.017895,0.039835,0.001803,0.017430,
0.003256,0.034356,0.000758,0.024789,0.001751,0.025200,0.025060,0.001728,0.017140,0.050355,0.001799,0.017371,0.039433,0.001819,0.017120,
0.003308,0.034168,0.000736,0.025947,0.001830,0.025311,0.023904,0.001741,0.017691,0.050946,0.001776,0.017723,0.039543,0.001774,0.018129,
0.003355,0.034422,0.000724,0.028193,0.001856,0.024869,0.025597,0.001751,0.017734,0.050184,0.001774,0.017591,0.040093,0.001831,0.017142,
0.003266,0.034405,0.000706,0.025047,0.001823,0.025134,0.023982,0.001773,0.018330,0.279108,0.003551,0.018038,0.038265,0.001833,0.017197,
0.003182,0.034161,0.000689,0.026640,0.002046,0.024460,0.023850,0.001761,0.018665,0.050490,0.001954,0.018270,0.039101,0.001847,0.017435,
0.003236,0.034408,0.000767,0.026870,0.001956,0.024373,0.024008,0.001743,0.017284,0.049662,0.001849,0.017340,0.039587,0.001779,0.017963,
0.003320,0.034319,0.000749,0.022367,0.001813,0.024765,0.024207,0.001777,0.018536,0.055183,0.001888,0.017748,0.037176,0.001866,0.020392,
0.003286,0.034414,0.000719,0.022523,0.001788,0.024839,0.024483,0.001726,0.017421,0.054622,0.001771,0.018179,0.037893,0.001866,0.017579,
0.003249,0.033833,0.000744,0.021993,0.001746,0.024291,0.024261,0.001730,0.017929,0.052897,0.001858,0.016796,0.035461,0.001797,0.017812,
0.003310,0.034307,0.000762,0.022516,0.001727,0.024950,0.024588,0.001750,0.017572,0.053349,0.002784,0.017771,0.036112,0.001792,0.017387,
0.003279,0.034476,0.000757,0.021999,0.001830,0.025129,0.024891,0.001745,0.018348,0.803846,0.003068,0.016406,0.035465,0.001789,0.017960,
0.003287,0.034505,0.000732,0.021875,0.001746,0.024514,0.025678,0.001767,0.018072,0.048132,0.001934,0.017209,0.036120,0.001767,0.017387,
0.003329,0.034208,0.000777,0.022383,0.001733,0.025583,0.023870,0.001760,0.017865,0.047359,0.001828,0.017412,0.035733,0.001835,0.018144,
0.003260,0.127769,0.000650,0.022318,0.001719,0.024742,0.024490,0.001788,0.017675,0.050196,0.001829,0.017660,0.036873,0.001821,0.017045,
0.003020,0.072725,0.000646,0.023122,0.002626,0.023916,0.023953,0.001772,0.017351,0.047129,0.001813,0.017226,0.036225,0.001816,0.017305,
0.002926,0.027174,0.000669,0.234406,0.002012,0.024972,0.024739,0.001767,0.017221,0.047194,0.001802,0.017566,0.042121,0.001922,0.017406,
0.002983,0.027147,0.000682,0.022075,0.001979,0.025594,0.025360,0.001804,0.017909,0.047718,0.001791,0.018076,0.041663,0.001909,0.018320,
0.003011,0.027304,0.000681,0.222721,0.004004,0.025112,0.026405,0.001767,0.018301,0.047106,0.001779,0.017529,0.042083,0.001824,0.018390,
0.003013,0.027172,0.000695,0.022589,0.003103,0.024170,0.024071,0.001804,0.017762,0.045956,0.001837,0.017687,0.042320,0.001828,0.018330,
0.003004,0.260013,0.000690,0.023471,0.003104,0.026791,0.023862,0.001933,0.018296,0.047131,0.001816,0.017447,0.042801,0.001888,0.018251,
0.003341,0.027490,0.000685,0.318936,0.004137,0.025713,0.024179,0.001730,0.017695,0.045624,0.001823,0.017154,0.041887,0.001795,0.017650,
0.002995,0.029621,0.000636,0.023509,0.001908,0.025510,0.024401,0.001813,0.017915,0.045276,0.001789,0.017279,0.043016,0.001796,0.017583,
0.002966,0.027339,0.000691,0.023060,0.001881,0.026207,0.024306,0.001758,0.017891,0.045728,0.001857,0.018530,0.042057,0.001738,0.017501,
0.003005,0.027252,0.000695,0.023963,0.001792,0.026291,0.025288,0.001759,0.017933,0.047172,0.001796,0.016885,0.041845,0.001779,0.017784,
0.002999,0.026975,0.000670,0.023818,0.001778,0.027018,0.024629,0.001753,0.018475,0.048685,0.001778,0.017159,0.042879,0.001860,0.017631,
0.003014,0.027231,0.000634,0.023640,0.001750,0.025447,0.024101,0.001758,0.017364,0.048423,0.001797,0.017214,0.043050,0.001785,0.017571,
0.002901,0.027539,0.000620,0.024096,0.001762,0.025743,0.024627,0.001699,0.017445,0.045993,0.001766,0.016840,0.043082,0.001818,0.017491,
0.002941,0.027065,0.000653,0.023440,0.001774,0.025316,0.024172,0.001756,0.018116,0.045024,0.001846,0.017429,0.043898,0.001777,0.017729,
0.002940,0.027550,0.000659,0.025459,0.001800,0.026062,0.025575,0.001780,0.017738,0.045264,0.001810,0.017588,0.043377,0.001765,0.017233,
0.002960,0.027408,0.000657,0.024603,0.001757,0.025714,0.024557,0.001799,0.018962,0.045282,0.001821,0.017160,0.041728,0.001795,0.017807,
0.003023,0.027283,0.000667,0.023878,0.001771,0.025420,0.024004,0.001755,0.017683,0.045667,0.001826,0.017025,0.042727,0.001840,0.018021,
0.002971,0.026927,0.000651,0.023049,0.001752,0.025438,0.023746,0.001777,0.017555,0.045319,0.001805,0.017255,0.042631,0.001757,0.016879,
0.003024,0.042356,0.000662,0.023178,0.001769,0.026703,0.023711,0.001716,0.017516,0.045672,0.001827,0.018051,0.041898,0.001746,0.017922,
0.002976,0.027167,0.000639,0.023243,0.001743,0.025516,0.023150,0.001797,0.017850,0.045203,0.001743,0.017464,0.042288,0.001790,0.017222,
0.002955,0.027332,0.000719,0.023380,0.001755,0.026136,0.024104,0.001756,0.017350,0.045872,0.001834,0.016758,0.042307,0.001862,0.017366,
