Performing comparisons between CPU Cuda and Tensor implementation,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Matrixes size,32,32,,,,,,,,,,,,,,,
Single run computation test,,,,,,,,,,,,,,,,,
Name,preparing time (ms),computation time (ms),gathering restuls time (ms),validity,mean of error (to CPU),deviation of error (to CPU),,,,,,,,,,,
MMA CPU,0.004177,0.411205,0.000354,,,,,,,,,,,,,,
MMA Tensor,68.240242,0.015621,0.010845,False,1,0,,,,,,,,,,,
MMA CUDA,0.080122,0.030367,0.008654,True,0,0,,,,,,,,,,,
MMA CUDA Shared,0.071819,0.017295,0.007991,False,0,0,,,,,,,,,,,
MMA CUDA Shared Half,0.081242,0.016787,0.008548,False,0.00005,0.000039,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Multi run computation  test, execution count :150,,,,,,,,,,,,,,,,
MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Loading,MMA CUDA Shared Half Computing,MMA CUDA Shared Half Outputing,MMA Tensor Shared Loading,MMA Tensor Shared Computing,MMA Tensor Shared Outputing
0.00029,0.017701,0.00016,0.018282,0.002464,0.006338,0.015011,0.009984,0.006161,0.01577,0.007584,0.005638,0.017547,0.007968,0.005886,-1,-1,-1
0.000267,0.01761,0.000164,0.018416,0.000896,0.006223,0.015062,0.009472,0.005657,0.015375,0.007712,0.005706,0.017601,0.007776,0.005686,-1,-1,-1
0.000345,0.017822,0.000145,0.018034,0.002048,0.00579,0.014727,0.00848,0.005781,0.015758,0.00816,0.005647,0.018352,0.00816,0.005707,-1,-1,-1
0.000318,0.017699,0.00019,0.018581,0.001888,0.006178,0.014917,0.01024,0.006166,0.015791,0.008192,0.005713,0.017396,0.008064,0.005717,-1,-1,-1
0.000358,0.017604,0.000142,0.018109,0.000992,0.005659,0.015078,0.00832,0.005869,0.016138,0.008192,0.00614,0.017419,0.007488,0.005635,-1,-1,-1
0.000282,0.017792,0.000152,0.018735,0.002048,0.005781,0.015643,0.009664,0.005908,0.015283,0.006944,0.006033,0.018403,0.008192,0.006242,-1,-1,-1
0.000312,0.017634,0.000169,0.017906,0.001888,0.005721,0.014481,0.01024,0.005751,0.015788,0.007968,0.006338,0.017657,0.007872,0.005648,-1,-1,-1
0.000298,0.017682,0.000149,0.017584,0.001856,0.005691,0.014837,0.00976,0.005692,0.015654,0.008192,0.005674,0.018284,0.007936,0.00562,-1,-1,-1
0.000349,0.017764,0.000164,0.019177,0.001888,0.005694,0.014933,0.008576,0.006198,0.015283,0.008192,0.005819,0.017717,0.006976,0.00579,-1,-1,-1
0.000267,0.017816,0.000146,0.017522,0.00192,0.005699,0.015582,0.0096,0.005634,0.015452,0.008224,0.005647,0.01817,0.008,0.005704,-1,-1,-1
0.000357,0.017841,0.000149,0.017707,0.002048,0.005855,0.014997,0.008512,0.005679,0.015479,0.006848,0.006246,0.017231,0.007872,0.006165,-1,-1,-1
0.000259,0.017789,0.000157,0.019467,0.001888,0.006266,0.014903,0.010272,0.005868,0.015602,0.007808,0.00623,0.017658,0.007552,0.00569,-1,-1,-1
0.000332,0.017872,0.000141,0.018429,0.002048,0.006241,0.015085,0.010208,0.006289,0.015685,0.008192,0.005658,0.018191,0.007968,0.005694,-1,-1,-1
0.000384,0.061557,0.00018,0.017594,0.00192,0.005697,0.015119,0.01008,0.005638,0.015419,0.006912,0.005615,0.017855,0.007808,0.00568,-1,-1,-1
0.000358,0.017761,0.000149,0.019435,0.00192,0.005789,0.015034,0.010112,0.006267,0.015766,0.008192,0.005846,0.017422,0.007648,0.005653,-1,-1,-1
0.000298,0.017735,0.000153,0.018062,0.000992,0.005714,0.01509,0.010048,0.005754,0.015368,0.007072,0.006186,0.018307,0.008064,0.005667,-1,-1,-1
0.000342,0.017837,0.000157,0.018409,0.001984,0.005797,0.015601,0.009248,0.005625,0.015357,0.007872,0.005657,0.017639,0.006912,0.005768,-1,-1,-1
0.000398,0.018088,0.000167,0.01765,0.002048,0.005796,0.015133,0.009472,0.005629,0.015172,0.008192,0.005681,0.017279,0.008192,0.006317,-1,-1,-1
0.000405,0.017997,0.000178,0.019862,0.001888,0.005968,0.014878,0.010016,0.005637,0.015376,0.008192,0.005621,0.01826,0.007744,0.006174,-1,-1,-1
0.000432,0.017919,0.00015,0.018356,0.002048,0.006314,0.014684,0.009472,0.005647,0.015441,0.008192,0.006075,0.017573,0.007648,0.005674,-1,-1,-1
0.000363,0.017848,0.000143,0.017664,0.001888,0.005957,0.015276,0.009664,0.005813,0.01564,0.007904,0.005962,0.017431,0.00752,0.005715,-1,-1,-1
0.00031,0.01769,0.000139,0.01929,0.001856,0.005692,0.014957,0.00896,0.006399,0.015506,0.008192,0.005653,0.017823,0.006496,0.005612,-1,-1,-1
0.0003,0.018102,0.000146,0.018635,0.001888,0.00612,0.014372,0.00992,0.005743,0.015346,0.008192,0.006276,0.018757,0.007776,0.005599,-1,-1,-1
0.0003,0.017874,0.000173,0.018068,0.002048,0.005785,0.01507,0.00976,0.005925,0.015208,0.007072,0.005572,0.017696,0.008192,0.005627,-1,-1,-1
0.000285,0.017897,0.000147,0.018691,0.002048,0.005744,0.015721,0.009728,0.005696,0.015516,0.008096,0.011119,0.017377,0.007936,0.006252,-1,-1,-1
0.000344,0.017816,0.000137,0.017779,0.002048,0.005685,0.01519,0.008544,0.005704,0.01547,0.008352,0.005905,0.018084,0.006848,0.006153,-1,-1,-1
