MMA CPU Loading,MMA CPU Computing,MMA CPU Outputing,MMA CUDA Loading,MMA CUDA Computing,MMA CUDA Outputing,MMA CUDA Shared Loading,MMA CUDA Shared Computing,MMA CUDA Shared Outputing,MMA CUDA Shared Half Rect Tiling 32*64 Loading,MMA CUDA Shared Half Rect Tiling 32*64 Computing,MMA CUDA Shared Half Rect Tiling 32*64 Outputing,MMA CUDA Shared Half Rect Tiling 32*96 Loading,MMA CUDA Shared Half Rect Tiling 32*96 Computing,MMA CUDA Shared Half Rect Tiling 32*96 Outputing,MMA CUDA Shared 16 Tile Loading,MMA CUDA Shared 16 Tile Computing,MMA CUDA Shared 16 Tile Outputing,MMA CUDA Shared Halfs 32 Tile Loading,MMA CUDA Shared Halfs 32 Tile Computing,MMA CUDA Shared Halfs 32 Tile Outputing,MMA Tensor Loading,MMA Tensor Computing,MMA Tensor Outputing,MMA Cublas Loading,MMA Cublas Computing,MMA Cublas Outputing,
0.000379,0.018346,0.000123,0.015690,0.010176,0.005907,0.015842,0.007552,0.005933,0.045263,0.003488,0.013254,0.018886,0.003200,0.006150,0.030248,0.009440,0.012892,0.043088,0.010752,0.013792,0.042992,0.003648,0.012656,0.038200,0.002400,0.012562,
0.000379,0.018114,0.000172,0.016370,0.009664,0.006409,0.016237,0.008192,0.005917,0.044329,0.002240,0.012975,0.018543,0.001888,0.005927,0.029917,0.009888,0.012874,0.044569,0.010240,0.013579,0.042783,0.002400,0.012642,0.036948,0.002208,0.012528,
0.000372,0.018400,0.000142,0.015882,0.010240,0.006330,0.022277,0.006688,0.006433,0.042855,0.003808,0.013822,0.018363,0.000960,0.006113,0.029710,0.009120,0.012817,0.044771,0.010464,0.013936,0.043742,0.003360,0.012628,0.035906,0.002048,0.013594,
0.000370,0.018239,0.000143,0.015966,0.009600,0.005896,0.016844,0.006656,0.006016,0.042732,0.003840,0.013085,0.018923,0.001920,0.005928,0.029636,0.008160,0.012726,0.044172,0.010240,0.013539,0.044904,0.003008,0.012585,0.036502,0.003200,0.012822,
0.000377,0.018347,0.000180,0.015437,0.009984,0.005915,0.016184,0.007936,0.005943,0.044579,0.003840,0.013554,0.019570,0.001920,0.005932,0.028936,0.009920,0.012925,0.043122,0.010496,0.013548,0.044656,0.002336,0.013162,0.036171,0.003296,0.012368,
0.000367,0.018238,0.000130,0.016429,0.008672,0.005858,0.015981,0.008192,0.006000,0.043319,0.003648,0.012847,0.018690,0.001888,0.005986,0.030732,0.008192,0.013064,0.044468,0.010912,0.013250,0.043992,0.003840,0.012657,0.035777,0.002592,0.012480,
0.000376,0.018384,0.000133,0.015406,0.008928,0.006558,0.015399,0.007104,0.005932,0.035147,0.002048,0.006131,0.018459,0.001888,0.005950,0.050147,0.010240,0.013852,0.045423,0.010752,0.013974,0.043195,0.003680,0.013583,0.037489,0.003008,0.012787,
0.000355,0.018347,0.000136,0.015621,0.010016,0.006292,0.015710,0.006592,0.005941,0.018613,0.002048,0.006317,0.019055,0.002048,0.005893,0.029939,0.008992,0.012787,0.044518,0.011680,0.013238,0.044346,0.003360,0.012576,0.036782,0.002304,0.012963,
0.000385,0.018395,0.000135,0.015939,0.008768,0.005930,0.015534,0.006624,0.005978,0.018271,0.002048,0.006020,0.018531,0.001888,0.005969,0.030823,0.009120,0.012733,0.044623,0.010464,0.013408,0.043421,0.003392,0.012683,0.035857,0.002592,0.012451,
0.000377,0.018429,0.000126,0.015667,0.009568,0.006523,0.015765,0.007712,0.005940,0.018278,0.001920,0.006023,0.018772,0.001920,0.005924,0.030889,0.009248,0.012586,0.044310,0.011488,0.012877,0.042938,0.002560,0.012617,0.036813,0.002464,0.012489,
0.000368,0.018146,0.000156,0.016161,0.008896,0.005986,0.015766,0.008192,0.006039,0.018092,0.001888,0.006141,0.018861,0.002176,0.006247,0.030351,0.009824,0.012929,0.044576,0.010624,0.013782,0.043112,0.002784,0.012610,0.036560,0.002560,0.013177,
0.000340,0.018241,0.000145,0.015300,0.008960,0.005948,0.015610,0.006656,0.006181,0.018748,0.001920,0.005978,0.018513,0.001920,0.006017,0.030222,0.008352,0.012750,0.044202,0.011712,0.012852,0.043510,0.004064,0.012500,0.036656,0.003648,0.012351,
0.000375,0.018389,0.000137,0.015425,0.009088,0.005953,0.015626,0.007552,0.005933,0.018270,0.002048,0.005931,0.018938,0.001920,0.006056,0.029855,0.009440,0.012705,0.044320,0.010560,0.012615,0.043668,0.004096,0.012981,0.037269,0.003264,0.012838,
0.000395,0.018352,0.000125,0.015530,0.009056,0.006413,0.015702,0.007808,0.006076,0.017885,0.001888,0.005893,0.018314,0.001920,0.006222,0.031171,0.008512,0.012837,0.043527,0.010240,0.013117,0.050013,0.002560,0.012931,0.036180,0.002176,0.012321,
0.000378,0.018217,0.000140,0.015644,0.008640,0.006174,0.015671,0.006816,0.006341,0.018052,0.002048,0.006118,0.018326,0.001024,0.005986,0.029830,0.008192,0.013688,0.044753,0.012224,0.014410,0.043653,0.002592,0.013420,0.036830,0.003488,0.012920,
0.000379,0.018156,0.000136,0.015708,0.009856,0.005958,0.017318,0.008096,0.005977,0.018387,0.002048,0.006238,0.018479,0.000960,0.005957,0.030070,0.009952,0.012677,0.044339,0.012192,0.013360,0.043531,0.004096,0.012663,0.036457,0.002656,0.013109,
0.000371,0.018476,0.000148,0.015824,0.010240,0.006327,0.015331,0.008192,0.006333,0.018329,0.002048,0.005926,0.018819,0.002048,0.005992,0.029846,0.008928,0.013023,0.043332,0.010720,0.013606,0.044168,0.002848,0.012572,0.035854,0.002048,0.012396,
0.000390,0.018145,0.000129,0.015847,0.008672,0.005938,0.015668,0.006624,0.006012,0.017762,0.001920,0.005886,0.018547,0.000960,0.005988,0.031053,0.009632,0.012875,0.043380,0.010240,0.013521,0.043430,0.004096,0.012458,0.036727,0.004096,0.013160,
0.000376,0.018351,0.000139,0.015383,0.009632,0.005913,0.015025,0.007680,0.006316,0.018093,0.001888,0.006232,0.019065,0.001888,0.006155,0.030423,0.008512,0.013001,0.043255,0.010336,0.013835,0.044273,0.002848,0.012650,0.036834,0.002048,0.012776,
0.000377,0.018476,0.000129,0.016333,0.009152,0.005943,0.015641,0.007808,0.005866,0.018756,0.001920,0.005921,0.018545,0.002048,0.006007,0.029832,0.008352,0.013227,0.043938,0.010240,0.013219,0.043995,0.002944,0.012471,0.037166,0.002688,0.012273,
